,task,valueA,valueB,action,logprobA,logprobB
0,11077,14.75,9.0,F,-0.47218758,-0.98054945
1,11401,4.9,2.1000000000000147,F,-0.40666863,-1.1105145
2,4504,-2.200000000000001,1.52,J,-0.6944451,-0.69345134
3,11244,7.199999999999999,2.75,J,-0.71087676,-0.6868423
4,4738,10.0,15.25,F,-0.35423976,-1.2116274
5,2422,-4.0,-0.7999999999999758,F,-0.1409492,-2.0344045
6,8201,-5.0,2.4000000000000004,F,-0.1501292,-1.9748687
7,14453,24.0,24.0,J,-0.71880096,-0.68646955
8,10028,18.0,13.9,F,-0.0821382,-2.546049
9,5914,-0.4500000000000002,-4.5,F,-0.19721939,-1.7408824
10,7832,-5.0,-12.6,F,-0.49947456,-0.9411308
11,6759,-9.0,-9.0,F,-0.04936141,-3.0609236
12,5563,5.0,1.5,F,-0.33810815,-1.2588539
13,6422,23.0,28.20000000000002,F,-0.02984767,-3.534858
14,10974,21.0,22.89999999999983,F,-0.00918158,-4.7663703
15,9103,1.0,3.7,J,-1.3148731,-0.316071
16,9923,13.0,10.0,F,-0.55676335,-0.8584124
17,2412,17.0,16.199999999999932,F,-0.045614563,-3.1251793
18,13547,24.76,22.100000000000005,F,-0.25159684,-1.5252249
19,2215,-3.0,-4.15,F,-0.672611,-0.7269246
20,2440,-4.0,-5.0,F,-0.2645632,-1.4633222
21,322,8.0,5.5,F,-0.013725196,-4.373539
22,14235,18.0,20.759999999999998,F,-0.060696956,-2.8438828
23,11735,25.0,19.65,F,-0.20862406,-1.6825907
24,6216,15.8,16.0,F,-0.024837324,-3.7613559
25,1298,-5.0,-5.0,F,-0.1382211,-2.054269
26,10002,4.0,-2.0000000000000004,J,-0.91435313,-0.51572293
27,5731,13.12,21.2,F,-0.22914457,-1.5902381
28,14,-3.0,-2.1099999999999994,F,-0.0075365254,-4.929175
29,9593,8.91,14.5,F,-0.26543108,-1.4757315
30,12696,1.0,-6.6,F,-0.14726055,-1.993736
31,14009,26.550000000000004,27.0,F,-0.5571091,-0.85432166
32,13333,6.0,11.78,F,-0.044311218,-3.1797407
33,12225,23.0,13.600000000000001,F,-0.19480485,-1.7438295
34,8626,16.1,17.77,F,-0.13518605,-2.0730255
35,6925,16.0,10.600000000000001,F,-0.090807155,-2.4480689
36,3233,-7.0,-10.600000000000003,F,-0.30142066,-1.3501228
37,12167,1.0,-1.49,F,-0.04953401,-3.0399306
38,8,27.0,32.5,F,-0.14182492,-2.0269623
39,3535,-9.0,-4.3999999999999915,F,-0.60970956,-0.7925538
40,8530,1.0,1.25,J,-0.7741881,-0.62690073
41,3530,10.0,10.600000000000001,F,-0.081735745,-2.5698986
42,9652,-6.0,0.75,F,-0.23591726,-1.5640707
43,2183,6.0,7.5,F,-0.032623593,-3.4449806
44,6609,14.0,14.75,F,-0.6172388,-0.78698343
45,14118,0.0,-3.399999999999983,F,-0.04552685,-3.1232204
46,11708,-9.650000000000002,-13.16,F,-0.6005164,-0.810792
47,9354,12.0,8.65,F,-0.44494346,-1.0320426
