,task,valueA,valueB,action,logprobA,logprobB
0,5671,29.75,30.000000000000004,J,-1.965968,-0.23229493
1,816,27.0,30.580000000000002,J,-1.993168,-0.22410212
2,3088,-0.10000000000000009,2.6000000000000005,J,-2.017421,-0.21165395
3,13039,10.999999999999996,9.09,J,-1.7533711,-0.2282716
4,3893,-5.0,-12.75,J,-1.7898594,-0.21773319
5,4704,30.0,30.400000000000002,J,-1.4135909,-0.41325137
6,331,15.700000000000001,11.0,J,-1.5001816,-0.3472571
7,12022,13.8,11.25,J,-2.0759547,-0.17404765
8,5121,-7.0,-11.099999999999998,J,-1.8787757,-0.19603848
9,6266,29.0,35.00000000000001,J,-1.8940824,-0.26728085
10,6541,9.100000000000001,16.29999999999999,J,-1.2193699,-0.48447224
11,13119,6.0,3.6,J,-2.1727295,-0.167556
12,3783,2.0,4.65,J,-2.3293886,-0.17073445
13,4678,14.599999999999998,12.799999999999999,J,-1.8369861,-0.22064817
14,213,29.0,29.0,J,-1.9120451,-0.20552795
15,6701,29.0,27.85,J,-2.0216177,-0.18284419
16,12274,-0.19999999999999996,-3.4000000000000004,J,-1.9737144,-0.19047208
17,10499,13.0,4.40000000000001,J,-2.0854943,-0.22101411
18,10081,14.0,12.599999999999998,J,-2.427808,-0.16589384
19,2390,23.0,19.579999999999963,J,-1.7147657,-0.24010955
20,2477,-9.25,-9.0,J,-1.1642692,-0.4727323
21,8492,12.0,5.0,J,-2.0801024,-0.1720367
22,7036,3.0,3.0,J,-1.9317576,-0.19319867
23,5458,-9.0,-16.5,J,-2.3720472,-0.16180104
24,12293,24.0,19.400000000000002,J,-2.3653944,-0.17290005
25,13526,4.0,4.25,J,-2.2826567,-0.1794112
26,6377,19.0,17.000000000000004,J,-1.8264738,-0.3013856
27,10469,16.0,14.3,J,-1.3813229,-0.4183416
28,4243,26.0,20.7,J,-2.0436337,-0.17862159
29,7034,3.0,6.100000000000019,J,-1.917703,-0.19660974
30,5398,11.0,12.599999999999998,J,-1.4981847,-0.2942531
31,6112,17.0,26.6,J,-1.6118116,-0.26216796
32,4445,25.199999999999992,30.25,J,-1.8728018,-0.19803725
33,5560,-7.0,-10.4,J,-1.9898732,-0.18263756
34,3333,3.0,4.92,J,-2.1900017,-0.14991617
35,12697,-3.0,5.0,J,-1.8251295,-0.21746364
36,3681,10.75,11.0,J,-2.1907458,-0.15957016
37,421,13.0,13.0,J,-1.8979875,-0.20643361
38,2507,27.0,17.799999999999898,J,-1.6575992,-0.2516068
39,1911,3.0000000000000293,5.4,J,-1.6304861,-0.2628953
40,2259,17.0,17.000000000000004,J,-1.7797794,-0.22187705
41,13918,1.75,2.0,J,-2.1485457,-0.16343157
42,3034,23.0,23.0,J,-1.7355281,-0.3334723
43,990,-8.0,-15.0,J,-2.0894275,-0.18716963
44,12921,-10.0,-13.75,J,-1.921746,-0.19426426
45,12682,9.0,20.0,J,-1.8890698,-0.19264911
46,10787,15.0,9.75,J,-1.7564344,-0.29018584
47,7969,29.6,33.400000000000006,J,-1.9907358,-0.18643938
48,1146,4.9999999999999964,8.8,J,-1.8669022,-0.21358204
49,1041,6.0,10.2,J,-2.4006424,-0.17667122
50,957,13.800000000000004,14.19999999999997,J,-1.5574905,-0.2756283
51,5487,20.800000000000004,17.729999999999997,J,-1.4243767,-0.3262703
52,4673,12.0,12.5,J,-1.3949255,-0.40339044
53,12326,-1.23,-2.9999999999999556,J,-2.0207355,-0.17327027
54,3541,1.0,9.8,J,-1.9451737,-0.2192331
55,10968,5.0,8.600000000000001,J,-1.6683834,-0.26172808
56,7329,28.0,32.43,J,-1.6330613,-0.33949953
57,4179,0.0,9.100000000000001,J,-2.0110865,-0.22014225
58,8589,5.0,6.5,J,-1.9988711,-0.18139009
59,9354,12.0,8.65,J,-1.8351533,-0.27010876
60,1498,13.0,15.05,J,-2.173542,-0.16477579
61,10873,-5.0,-8.0,J,-1.7520611,-0.22606312
62,9092,25.0,20.2,J,-1.9500353,-0.18781884
63,4264,-9.0,-9.0,J,-1.5739552,-0.30617693
64,5275,14.0,11.0,J,-1.8081979,-0.21941182
65,5809,18.0,21.800000000000004,J,-1.8547922,-0.28776512
66,14201,22.0,16.04,J,-1.4640516,-0.3954758
67,12627,5.0,9.95,J,-2.0962229,-0.16666979
68,5047,-5.0,6.000000000000002,J,-2.421827,-0.16198227
69,11224,12.0,2.5,J,-2.022558,-0.235716
70,3183,3.0,0.75,J,-1.4313718,-0.3800182
71,7327,28.0,25.800000000000004,J,-1.8502516,-0.28466722
72,640,20.0,22.75,J,-1.9186444,-0.27014586
73,1190,16.0,16.0,J,-2.4304338,-0.16685042
74,1573,18.0,11.200000000000001,J,-2.300515,-0.18839917
75,8763,11.0,18.889999999999997,J,-1.5610133,-0.35696906
76,12598,29.0,33.0,J,-2.141015,-0.20372392
77,4417,7.0,3.8000000000000003,J,-1.8799871,-0.25188094
78,6439,-1.6,-7.29999999999999,J,-2.3627486,-0.16232456
79,13967,4.0,-2.799999999999974,J,-2.0527883,-0.22259566
80,1566,9.0,7.1,J,-1.0525869,-0.5513529
81,1862,28.00000000000005,31.5,J,-2.297987,-0.18433776
82,11902,4.0,-0.7600000000000001,J,-1.6720873,-0.2438704
83,9428,28.0,26.999999999999922,J,-2.1055248,-0.17398146
84,6133,-4.0,-4.5,J,-1.8593984,-0.2108474
85,10039,10.0,8.400000000000002,J,-2.1119745,-0.1619433
86,12460,22.0,24.000000000000014,J,-2.0500066,-0.17165087
87,14470,9.0,8.299999999999999,J,-1.3805217,-0.39982006
88,9709,7.0,20.199999999999992,J,-1.9227732,-0.19612673
89,5688,-1.0,-1.25,J,-1.9217508,-0.21722671
90,537,10.200000000000001,5.25,J,-1.7749872,-0.22615539
91,9711,9.75,9.4,J,-1.643962,-0.29295647
92,12187,19.0,16.0,J,-1.7054255,-0.2920306
93,4538,10.0,3.6000000000000014,J,-1.9472345,-0.19402926
94,5567,28.0,24.0,J,-2.393935,-0.1367663
95,10655,28.25,15.08,J,-2.125512,-0.16301705
96,3996,24.250000000000004,17.2,J,-1.9778787,-0.1866295
97,5440,16.0,20.5,J,-1.5142331,-0.34818703
98,1814,-10.0,-9.100000000000044,J,-1.8348395,-0.20966217
99,5093,-1.0,3.9699999999999998,J,-2.0377696,-0.16690296
100,14479,4.0,7.9,J,-1.6165115,-0.2941572
101,11833,26.550000000000004,30.5,J,-1.7805599,-0.22537357
102,7104,30.200000000000003,38.400000000000006,J,-1.4878664,-0.32531458
103,1237,0.0,-0.04999999999999993,J,-2.122562,-0.19488674
104,9548,27.0,39.29999999999997,J,-1.7673702,-0.26727507
105,12830,11.0,19.599999999999998,J,-1.6408942,-0.2565358
106,5298,19.0,19.4,J,-1.7445703,-0.2294983
107,11505,19.0,20.0,J,-2.0955,-0.2155009
108,141,11.0,11.599999999999982,J,-1.6629922,-0.25320992
109,5916,19.0,18.8,J,-1.872275,-0.26806712
110,5490,16.0,16.400000000000002,J,-1.6176486,-0.26475286
111,10639,29.0,25.80000000000004,J,-2.1672163,-0.19854535
112,2914,17.0,24.699999999999996,J,-1.845028,-0.20691511
113,7977,-3.0,-4.5,J,-2.0006454,-0.18286036
114,2107,2.0,-7.0,J,-1.750541,-0.284654
115,10367,21.0,18.700000000000003,J,-1.6725645,-0.24778776
116,4386,-2.0,-1.2,J,-1.8239604,-0.21308734
117,4521,16.0,14.799999999999905,J,-1.786755,-0.2232135
118,12676,16.0,22.0,J,-1.8822626,-0.20488594
119,3043,-9.000000000000002,-15.450000000000003,J,-2.306948,-0.17505851
120,14194,10.600000000000001,6.7999999999999785,J,-1.9696523,-0.18239422
121,11279,7.0,7.0,J,-2.203384,-0.15823998
122,12620,-6.0,-5.5,J,-2.255526,-0.18617404
123,8327,28.0,22.0,J,-2.1391973,-0.16425732
124,12222,4.9,3.400000000000001,J,-1.8648595,-0.20761387
125,6695,8.0,2.8,J,-2.144867,-0.16292101
126,5646,17.75,23.5,J,-2.0185928,-0.22371767
127,13176,5.199999999999999,11.800000000000008,J,-1.5918771,-0.2690317
128,11235,9.0,14.350000000000001,J,-1.8294308,-0.27337483
129,10044,11.0,7.900000000000001,J,-1.7520481,-0.2317036
130,11352,1.5987211554602254e-14,-8.399999999999999,J,-2.033844,-0.17870528
131,1781,27.0,29.0,J,-1.6438471,-0.29033244
132,14420,12.8,12.0,J,-2.3332307,-0.1380986
133,13758,1.0,-2.2,J,-1.7756891,-0.26865673
134,6814,18.919999999999998,22.75,J,-1.83589,-0.21197417
135,13292,17.85,15.2,J,-2.379719,-0.13086921
136,2,1.0,1.0,J,-2.3264797,-0.13484065
137,8249,24.0,22.60000000000001,J,-2.0580454,-0.17311653
138,949,-2.200000000000001,-6.75,J,-1.715689,-0.24822356
139,10641,22.0,22.5,J,-1.8462222,-0.21825153
140,8641,13.199999999999994,21.900000000000002,J,-1.9473697,-0.2586939
141,11403,14.0,11.500000000000002,J,-2.0960524,-0.17385209
142,3109,25.6,26.39999999999991,J,-0.8157403,-0.7939144
143,3338,10.0,10.0,J,-2.0447676,-0.17239986
144,8253,6.0,7.5,J,-1.838774,-0.2098362
145,829,-5.0,-7.6,J,-1.6402341,-0.24676333
146,10796,8.8,5.53,J,-1.724402,-0.2823653
