,task,valueA,valueB,action,logprobA,logprobB
0,12093,20.200000000000003,8.75,J,-1.0868709,-0.43033653
1,12363,9.0,9.5,J,-1.4892594,-0.27116555
2,6443,2.0,-1.65,J,-3.4593332,-0.04281215
3,7394,12.25,13.5,J,-3.2707715,-0.049176067
4,8998,20.0,27.599999999999987,F,-0.46973008,-1.0251328
5,13074,10.3,18.200000000000003,J,-1.153078,-0.39941964
6,176,-10.199999999999985,-10.0,J,-2.7661297,-0.0781548
7,2205,16.4,8.75,J,-1.0782862,-0.43528277
8,1505,19.0,20.600000000000005,J,-3.424902,-0.04120463
9,6577,29.0,24.59999999999989,J,-1.2666229,-0.3494591
10,11282,-4.399999999999978,1.0,J,-3.230421,-0.05210343
11,448,-4.0,-5.27,J,-3.3958917,-0.043795586
12,8321,1.0,-5.0,J,-0.9175369,-0.530225
13,13590,0.20000000000000007,0.0,J,-3.1749828,-0.056900993
14,12041,18.599999999999987,18.6,J,-3.1965194,-0.048808742
15,11146,14.0,14.199999999999896,J,-3.4256268,-0.03905317
16,10118,30.0,38.0,F,-0.6252629,-0.80417806
17,5570,11.0,22.8,F,-0.54861397,-0.89260626
18,6769,19.000000000000018,9.0,F,-0.6647326,-0.75227606
19,13489,17.0,11.0,J,-0.8172932,-0.61413574
20,11076,-9.0,-9.399999999999999,F,-0.7033833,-0.7164945
21,897,18.4,26.0,F,-0.69668067,-0.71965283
22,8513,28.0,28.0,J,-3.6914232,-0.033965964
23,12993,-3.0,-1.5999999999999996,J,-3.2176025,-0.052233733
24,5044,23.0,28.5,J,-1.0619764,-0.45595855
25,534,-1.0,0.0,J,-0.9145374,-0.53222275
26,13999,24.31,23.200000000000035,J,-1.444289,-0.27989456
27,3187,4.0,6.400000000000004,J,-3.4798045,-0.041158173
28,1935,-8.0,-4.499999999999999,J,-1.3606945,-0.3122956
29,5065,24.0,27.79,J,-3.321841,-0.047266968
30,2127,14.0,13.059999999999999,J,-3.5474787,-0.038035624
31,1572,16.200000000000003,13.8,J,-0.8480427,-0.5884183
32,9730,22.0,13.0,J,-1.3680618,-0.30488095
33,1685,15.200000000000001,11.190000000000001,J,-3.06547,-0.056265086
34,13049,-2.0,7.75,J,-0.93039095,-0.51812696
35,8811,5.0,4.12,J,-3.6019306,-0.03792028
