,task,valueA,valueB,action,logprobA,logprobB
0,0,24.650000000000002,21.1,J,-3.113072,-0.048634134
1,1,1.200000000000002,-1.75,J,-1.0773172,-0.41952792
2,2,1.0,1.0,J,-2.7188666,-0.06969775
3,3,9.450000000000001,-1.5,J,-1.0846612,-0.4154947
4,4,26.0,24.75,J,-1.0439782,-0.43691957
5,5,28.0,28.05,F,-0.52522975,-0.9013847
6,6,-6.0,0.8000000000000003,J,-1.6250411,-0.22108941
7,7,-6.0,0.8000000000000003,J,-1.7622736,-0.1900385
8,8,27.0,32.5,F,-0.4815988,-0.967702
9,9,27.0,32.5,F,-0.46688938,-0.9919472
10,10,-5.0,-8.950000000000001,J,-1.0798965,-0.4186396
11,11,1.0,2.95,F,-0.3238206,-1.2926536
12,12,1.0,2.95,F,-0.32382032,-1.2926543
13,13,-4.0,-0.6999999999999996,J,-1.0455246,-0.43655878
14,14,-3.0,-2.1099999999999994,J,-1.3042284,-0.3192736
15,15,9.0,9.05,J,-0.874004,-0.54493684
16,16,13.0,16.799999999999965,J,-0.905553,-0.52315915
17,17,4.0,7.200000000000001,J,-3.1571405,-0.045137417
18,18,6.199999999999999,2.5999999999999996,J,-2.2234976,-0.11625883
19,19,-5.0,-12.639999999999999,J,-1.0716166,-0.421886
20,20,2.0,14.400000000000002,F,-0.34918168,-1.2287536
21,21,6.0,3.1399999999999997,J,-0.7266987,-0.6658008
22,22,0.0,-4.5,J,-1.1771606,-0.37089586
23,23,-9.0,-1.6199999999999999,J,-0.9110831,-0.51749223
24,24,24.0,21.6,F,-0.54904324,-0.8677165
25,25,15.0,13.400000000000002,J,-1.0121416,-0.4552492
26,26,-7.0,-2.75,J,-0.7471744,-0.64569575
27,27,21.0,21.6,J,-1.062905,-0.42747456
28,28,21.0,21.6,J,-1.069235,-0.42411724
29,29,8.0,7.45,J,-0.7689262,-0.62796354
30,30,-10.200000000000001,-10.199999999999989,J,-1.1984732,-0.36189383
31,31,12.0,2.0,J,-0.7659797,-0.6291485
32,32,21.0,27.35,J,-2.2140548,-0.117346354
