,task,action,logprobA,logprobB
0,1,J,-2.8471348,-0.061365362
1,2,J,-1.4767655,-0.2606192
2,3,J,-0.7118911,-0.6788712
3,4,J,-1.9603394,-0.15273097
4,5,J,-2.5447156,-0.082666226
5,6,J,-1.1680143,-0.37447995
6,7,F,-0.6271195,-0.7695002
7,8,J,-1.6987641,-0.2035364
8,9,J,-1.1156858,-0.39989507
9,10,J,-2.9796245,-0.0532131
10,11,F,-0.18175903,-1.8028938
11,12,F,-0.17069004,-1.8598409
12,13,F,-0.30314356,-1.3462505
13,14,J,-4.6965013,-0.009650051
14,15,J,-1.8657459,-0.16982879
15,16,J,-2.5962217,-0.07911563
16,17,F,-0.28301403,-1.4081532
