,task,valueA,valueB,action,logprobA,logprobB
0,881,-8.0,-9.0,F,-0.36365426,-1.1928989
1,13755,20.0,15.5,J,-2.930505,-0.056476153
2,11400,26.0,25.85,J,-0.83312225,-0.57436454
3,884,28.800000000000004,22.0,J,-0.8176089,-0.58611023
4,7997,15.450000000000001,20.6,J,-1.1570429,-0.38099027
5,8389,15.49,15.750000000000002,J,-0.8522577,-0.5597038
6,4788,-3.0,-3.5,J,-1.771596,-0.18851382
7,5433,12.0,6.8000000000000025,J,-1.2757427,-0.33036426
8,748,9.899999999999991,4.0,F,-0.5741073,-0.83373183
9,3732,18.950000000000003,20.79999999999999,J,-0.9117625,-0.5171274
10,282,-6.800000000000001,-5.529999999999999,F,-0.69255507,-0.69770306
11,4829,7.0,10.95,J,-1.4007387,-0.28527063
12,6659,-4.8,-11.399999999999991,J,-1.2368121,-0.34571987
13,9743,-7.75,-8.5,F,-0.12542386,-2.1605742
14,7190,21.0,25.5,J,-0.84189624,-0.5704844
15,3979,22.0,15.6,F,-0.6129126,-0.7851596
16,9436,21.0,21.0,J,-0.72797936,-0.66489476
17,2583,13.0,12.599999999999998,F,-0.5422813,-0.8788044
18,5719,11.799999999999999,5.199999999999999,F,-0.30327561,-1.3488001
19,3102,24.200000000000003,27.450000000000003,J,-3.3114178,-0.038046397
20,9217,29.16,26.500000000000004,J,-0.89299583,-0.53146553
21,1355,8.350000000000001,2.0,F,-0.1950246,-1.74405
22,11853,29.0,34.5,J,-0.8542888,-0.5584715
23,13689,1.9,11.0,J,-0.8252884,-0.58056307
24,2396,-7.0,0.39999999999993285,J,-1.6094699,-0.2254254
25,8114,30.0,42.2,J,-0.9025092,-0.5231644
26,11877,9.0,9.5,J,-1.2722329,-0.33137697
27,2722,-8.0,-6.5,J,-0.9899074,-0.46702963
28,8529,8.850000000000001,20.39999999999997,J,-0.85255855,-0.5604539
29,2059,14.000000000000004,18.400000000000006,J,-2.238233,-0.11443955
30,2740,-5.0,3.75,J,-1.9077168,-0.16224954
31,34,2.0,4.75,J,-1.2898412,-0.32498506
32,6780,-6.0,-14.5,J,-0.8305254,-0.57610327
33,2061,30.0,23.2,J,-1.1661781,-0.3760999
34,4546,22.0,26.000000000000004,J,-0.6999277,-0.6931851
35,5260,10.0,15.600000000000001,F,-0.17807096,-1.8311757
36,5726,-10.0,-15.000000000000002,F,-0.4320173,-1.0543327
37,1428,-4.0,1.5,J,-1.6677166,-0.2109993
38,11684,-10.0,-12.200000000000001,J,-0.7059121,-0.6844526
39,9375,1.0,-1.7499999999999996,J,-0.84843934,-0.561969
40,6090,12.0,12.909999999999998,J,-2.9599824,-0.05426654
41,4993,4.0000000000000036,1.8999999999999644,J,-1.4372096,-0.27344558
42,2648,-1.25,-9.400000000000006,F,-0.042759582,-3.2218204
43,3823,28.0,29.1,J,-0.885536,-0.5364654
44,9637,8.0,8.4,F,-0.18284777,-1.8198544
45,12397,17.0,23.0,J,-2.7222366,-0.072622485
46,11123,1.0,-1.75,F,-0.5509792,-0.8640896
47,3964,13.0,17.0,F,-0.17438075,-1.853336
48,3265,25.099999999999984,25.75,J,-1.8630906,-0.17031789
49,4402,23.0,21.6,F,-0.62268376,-0.77544904
50,2947,18.150000000000002,19.0,F,-0.67536396,-0.71638995
51,4227,26.0,30.700000000000003,J,-0.84998655,-0.56125486
52,3699,26.0,20.5,F,-0.5700734,-0.8391259
53,6096,18.0,16.0,J,-0.8084581,-0.5931737
54,8920,25.0,18.5,F,-0.67740643,-0.7146788
55,11412,-9.0,-10.000000000000002,F,-0.49141878,-0.95047843
56,12529,10.0,13.75,J,-1.0085864,-0.45812935
57,4363,5.0,13.5,J,-1.4629798,-0.26580486
58,7566,9.0,6.200000000000033,F,-0.5035593,-0.9339592
59,6859,-1.0,-6.000000000000001,F,-0.4550427,-1.011814
60,2079,19.000000000000004,23.400000000000016,J,-1.6212596,-0.22211349
