Subject,Block,Trial,Horizon,Info,mu_L,mu_R,delta,Choice,RT,Accuracy,Outcome
0028vx980suduypyca0fxp5s.,1,1,5,0,60,52,8,0,1.0614549999590963,0,62
0028vx980suduypyca0fxp5s.,1,2,5,0,60,52,8,1,0.5706350000109524,1,52
0028vx980suduypyca0fxp5s.,1,3,5,0,60,52,8,1,0.7355049999896437,1,62
0028vx980suduypyca0fxp5s.,1,4,5,0,60,52,8,0,1.5221750000491738,0,46
0028vx980suduypyca0fxp5s.,1,5,5,0,60,52,8,1,1.5524949999526143,1,43
0028vx980suduypyca0fxp5s.,2,1,10,0,40,10,30,0,0.853015000000596,0,9
0028vx980suduypyca0fxp5s.,2,2,10,0,40,10,30,1,0.758960000006482,1,50
0028vx980suduypyca0fxp5s.,2,3,10,0,40,10,30,0,0.6608100000303239,0,14
0028vx980suduypyca0fxp5s.,2,4,10,0,40,10,30,1,0.6327149998396635,1,47
0028vx980suduypyca0fxp5s.,2,5,10,0,40,10,30,1,0.9148249998688698,1,44
0028vx980suduypyca0fxp5s.,2,6,10,0,40,10,30,1,0.6365999998524785,1,35
0028vx980suduypyca0fxp5s.,2,7,10,0,40,10,30,1,0.4386249999515712,1,45
0028vx980suduypyca0fxp5s.,2,8,10,0,40,10,30,1,0.4494599997997284,1,36
0028vx980suduypyca0fxp5s.,2,9,10,0,40,10,30,1,0.46501000015996397,1,38
0028vx980suduypyca0fxp5s.,2,10,10,0,40,10,30,1,0.38847500015981495,1,41
0028vx980suduypyca0fxp5s.,3,1,10,-1,60,52,8,0,0.9835050001274794,0,63
0028vx980suduypyca0fxp5s.,3,2,10,-1,60,52,8,1,0.44705000007525086,1,51
0028vx980suduypyca0fxp5s.,3,3,10,-1,60,52,8,0,0.8125850001815706,0,48
0028vx980suduypyca0fxp5s.,3,4,10,-1,60,52,8,0,0.7337750000879169,0,51
0028vx980suduypyca0fxp5s.,3,5,10,-1,60,52,8,1,1.846879999851808,1,58
0028vx980suduypyca0fxp5s.,3,6,10,-1,60,52,8,0,0.6728399998974055,0,52
0028vx980suduypyca0fxp5s.,3,7,10,-1,60,52,8,1,0.9008549998980016,1,67
0028vx980suduypyca0fxp5s.,3,8,10,-1,60,52,8,1,0.9986449999269098,1,55
0028vx980suduypyca0fxp5s.,3,9,10,-1,60,52,8,0,0.6032650000415742,0,57
0028vx980suduypyca0fxp5s.,3,10,10,-1,60,52,8,1,0.5836300000082701,1,74
0028vx980suduypyca0fxp5s.,4,1,5,0,40,28,12,1,1.0064749999437481,1,36
0028vx980suduypyca0fxp5s.,4,2,5,0,40,28,12,1,1.1869250000454485,1,55
0028vx980suduypyca0fxp5s.,4,3,5,0,40,28,12,0,1.23445999994874,0,29
0028vx980suduypyca0fxp5s.,4,4,5,0,40,28,12,0,0.6052900000941008,0,19
0028vx980suduypyca0fxp5s.,4,5,5,0,40,28,12,1,1.2577849999070168,1,45
0028vx980suduypyca0fxp5s.,5,1,5,0,60,68,-8,1,0.7012449998874217,0,59
0028vx980suduypyca0fxp5s.,5,2,5,0,60,68,-8,0,0.6671349999960512,1,73
0028vx980suduypyca0fxp5s.,5,3,5,0,60,68,-8,1,0.8526099999435246,0,75
0028vx980suduypyca0fxp5s.,5,4,5,0,60,68,-8,0,0.5771999999415129,1,72
0028vx980suduypyca0fxp5s.,5,5,5,0,60,68,-8,0,2.009455000050366,1,59
0028vx980suduypyca0fxp5s.,6,1,5,1,40,36,4,1,0.6217549999710172,1,34
0028vx980suduypyca0fxp5s.,6,2,5,1,40,36,4,1,1.0712150000035763,1,37
0028vx980suduypyca0fxp5s.,6,3,5,1,40,36,4,0,0.4959600002039224,0,31
0028vx980suduypyca0fxp5s.,6,4,5,1,40,36,4,1,1.0318850001785904,1,28
0028vx980suduypyca0fxp5s.,6,5,5,1,40,36,4,1,2.551564999856055,1,38
0028vx980suduypyca0fxp5s.,7,1,5,-1,40,60,-20,0,0.5153799999970943,1,53
0028vx980suduypyca0fxp5s.,7,2,5,-1,40,60,-20,0,0.91203000000678,1,41
0028vx980suduypyca0fxp5s.,7,3,5,-1,40,60,-20,1,0.4878699998371303,0,51
0028vx980suduypyca0fxp5s.,7,4,5,-1,40,60,-20,0,1.1779749998822808,1,64
0028vx980suduypyca0fxp5s.,7,5,5,-1,40,60,-20,0,2.0911550000309944,1,57
